Time (sec),Area-wt-avg Static Temperature at outlet (k)
3197,499.7376114
3198,499.6475791
3199,499.5582055
3200,499.4694772
3201,499.3813812
3202,499.293905
3203,499.2070365
3204,499.120764
3205,499.0350763
3206,498.9499624
3207,498.8654118
3208,498.7814143
3209,498.6979601
3210,498.6150397
3211,498.5326438
3212,498.4507634
3213,498.36939
3214,498.288515
3215,498.2081304
3216,498.1282282
3217,498.0488008
3218,497.9698406
3219,497.8913404
3220,497.8132933
3221,497.7356922
3222,497.6585307
3223,497.5818021
3224,497.5055002
3225,497.4296189
3226,497.3541521
3227,497.2790941
3228,497.2044392
3229,497.1301817
3230,497.0563164
3231,496.982838
3232,496.9097414
3233,496.8370214
3234,496.7646733
3235,496.6926923
3236,496.6210737
3237,496.5498129
3238,496.4789055
3239,496.4083472
3240,496.3246457
3241,496.2545585
3242,496.1848135
3243,496.1154065
3244,496.0463335
3245,495.9775905
3246,495.9091736
3247,495.8410789
3248,495.7733027
3249,495.7058413
3250,495.6386912
3251,495.5718488
3252,495.5053107
3253,495.4390736
3254,495.3731342
3255,495.3074892
3256,495.2421354
3257,495.1770698
3258,495.1122893
3259,495.047791
3260,494.9835719
3261,494.9196291
3262,494.8559598
3263,494.7925613
3264,494.7294309
3265,494.6665659
3266,494.6039636
3267,494.5416215
3268,494.4795372
3269,494.417708
3270,494.3561317
3271,494.2948057
3272,494.2337278
3273,494.1728956
3274,494.1123069
3275,494.0519594
3276,493.991851
3277,493.9319795
3278,493.8723427
3279,493.8129387
3280,493.7537652
3281,493.6948204
3282,493.6361022
3283,493.5776087
3284,493.5193379
3285,493.461288
3286,493.403457
3287,493.3458433
3288,493.2884448
3289,493.2312599
3290,493.1742869
3291,493.1175239
3292,493.0609692
3293,493.0046213
3294,492.9484785
3295,492.892539
3296,492.8368014
3297,492.781264
3298,492.7259253
3299,492.6707838
3300,491.515608
3301,491.4427618
3302,491.370284
3303,491.2981703
3304,491.2264164
3305,491.1550184
3306,491.0839722
3307,491.0132742
3308,490.9429206
3309,490.8729079
3310,490.8032327
3311,490.7338916
3312,490.6648813
3313,490.5961987
3314,490.5278407
3315,490.4598041
3316,490.3920861
3317,490.3246836
3318,490.2575938
3319,490.1908139
3320,490.124341
3321,490.0581725
3322,489.9923056
3323,489.9267376
3324,489.861466
3325,489.7964881
3326,489.7318013
3327,489.6674032
3328,489.6032912
3329,489.5394628
3330,489.4759157
3331,489.4126473
3332,489.3496554
3333,489.2869375
3334,489.2244913
3335,489.1623145
3336,489.1004048
3337,489.0387599
3338,488.9773776
3339,488.9162557
3340,488.855392
3341,488.7947843
3342,488.7344304
3343,488.6743282
3344,488.6144757
3345,488.5548707
3346,488.4955112
3347,488.4363951
3348,488.3775204
3349,488.3188852
3350,488.2604874
3351,488.2023251
3352,488.1443963
3353,488.0866992
3354,488.0292319
3355,487.9719924
3356,487.9149789
3357,487.8581896
3358,487.8016227
3359,487.7452764
3360,485.4205322
3361,485.3280574
3362,485.2365109
3363,485.1458687
3364,485.0561077
3365,484.9672057
3366,484.8791414
3367,484.791894
3368,484.7054438
3369,484.6197715
3370,484.5348588
3371,484.4506878
3372,484.3672414
3373,484.2845031
3374,484.2024568
3375,484.1210871
3376,484.0403791
3377,483.9603185
3378,483.8808914
3379,483.8020842
3380,483.7238841
3381,483.6462784
3382,483.5692551
3383,483.4928023
3384,483.4169086
3385,483.3415632
3386,483.2667552
3387,483.1924744
3388,483.1187107
3389,483.0454545
3390,482.9726964
3391,482.9004271
3392,482.8286379
3393,482.7573202
3394,482.6864656
3395,482.6160661
3396,482.5461137
3397,482.4766009
3398,482.4075203
3399,482.3388645
3400,482.2706267
3401,482.2028001
3402,482.1353779
3403,482.0683537
3404,482.0017213
3405,481.9354746
3406,481.8696076
3407,481.8041146
3408,481.7389898
3409,481.6742279
3410,481.6098234
3411,481.5457711
3412,481.482066
3413,481.4187032
3414,481.3556776
3415,481.2929848
3416,481.23062
3417,481.1685787
3418,481.1068566
3419,481.0454494
3420,479.3833968
3421,479.2962694
3422,479.2096963
3423,479.1236691
3424,479.03818
3425,478.953221
3426,478.8687849
3427,478.7848642
3428,478.7014519
3429,478.6185412
3430,478.5361256
3431,478.4541984
3432,478.3727535
3433,478.2917848
3434,478.2112862
3435,478.1312521
3436,478.0516767
3437,477.9725545
3438,477.8938801
3439,477.8156484
3440,477.737854
3441,477.6604919
3442,477.5835573
3443,477.5070453
3444,477.430951
3445,477.35527
3446,477.2799975
3447,477.2051292
3448,477.1306606
3449,477.0565874
3450,476.9829054
3451,476.9096104
3452,476.8366982
3453,476.7641649
3454,476.6920065
3455,476.620219
3456,476.5487987
3457,476.4777417
3458,476.4070443
3459,476.3367029
3460,476.2667138
3461,476.1970735
3462,476.1277785
3463,476.0588253
3464,475.9902105
3465,475.9219307
3466,475.8539827
3467,475.7863632
3468,475.7190689
3469,475.6520967
3470,475.5854435
3471,475.5191062
3472,475.4530817
3473,475.3873671
3474,475.3219594
3475,475.2568556
3476,475.1920529
3477,475.1275484
3478,475.0633394
3479,474.999423
3480,474.9271346
3481,474.8636601
3482,474.8004749
3483,474.7375763
3484,474.6749614
3485,474.6126276
3486,474.5505721
3487,474.4887924
3488,474.4272859
3489,474.3660499
3490,474.305082
3491,474.2443797
3492,474.1839406
3493,474.1237622
3494,474.0638421
3495,474.004178
3496,473.9447677
3497,473.8856087
3498,473.826699
3499,473.7680362
3500,473.7096182
3501,473.6514429
3502,473.593508
3503,473.5358116
3504,473.4783515
3505,473.4211257
3506,473.3641322
3507,473.3073691
3508,473.2508343
3509,473.194526
3510,473.1384422
3511,473.082581
3512,473.0269407
3513,472.9715193
3514,472.9163151
3515,472.8613263
3516,472.8065512
3517,472.7519879
3518,472.6976349
3519,472.6434903
3520,472.5895526
3521,472.5358201
